Alt_Species,Order,Family.name,Family,Common.name,Body.Mass.g,Brain.Mass.g,ReltiveBrainSive.OLSresiduals,RelativeBrainSize.PGLSresiduals,PC1min,PC1max,PC2min,PC2max,Migration,Eggs/year,PercVeg,Pelagic
Sittasomus_griseicapillus,PASSERIFORMES,Dendrocolaptidae,Woodcreepers,Olivaceous Woodcreeper,12.8,0.5698,-0.016251688,0.173435246,0.149700604,1.84017945,-1.307745222,2.583464478,0,NA,10,0
Sericulus_chrysocephalus,PASSERIFORMES,Ptilonorhynchidae,Bowerbirds,Regent Bowerbird,100,3.46024,0.263754634,0.426079227,0.296540874,0.700691246,-0.363862388,0.484953509,0,1.5,0,0
Ptilonorhynchus_violaceus,PASSERIFORMES,Ptilonorhynchidae,Bowerbirds,Satin Bowerbird,213,4.88992,0.228801493,0.381074061,0.040630791,1.228031727,-0.275726153,1.027321587,0,NA,10,0
Philemon_buceroides,PASSERIFORMES,Meliphagidae,Honeyeaters,Helmeted Friarbird,101,2.2274,0.070010128,0.232198957,1.224414729,1.851085554,0.127255317,2.628116991,0,NA,0,0
Philemon_corniculatus,PASSERIFORMES,Meliphagidae,Honeyeaters,Noisy Friarbird,103.375,2.05128,0.028545524,0.190417227,0.016503922,1.720898875,-0.798044185,1.027321587,0,NA,0,0
Philemon_diemenensis,PASSERIFORMES,Meliphagidae,Honeyeaters,New Caledonian Friarbird,66.4,1.6058,0.030605971,0.198393205,1.13057385,1.298775363,-0.085944094,0.10200226,0,NA,0,0
Phylidonyris_novaehollandiae,PASSERIFORMES,Meliphagidae,Honeyeaters,New Holland Honeyeater,18.5,0.9324,0.107437673,0.292271475,0.016503922,0.851914841,-0.805133873,1.572906852,0,NA,0,0
Phylidonyris_albifrons,PASSERIFORMES,Meliphagidae,Honeyeaters,White-fronted Honeyeater,17.1,0.74592,0.029796732,0.215669942,-0.00081338,0.764533801,-1.079936076,0.358936688,1,NA,0,0
Phylidonyris_melanops,PASSERIFORMES,Meliphagidae,Honeyeaters,Tawny-crowned Honeyeater,18.25,0.64232,-0.051081584,0.133928387,0.004078449,0.851914841,-1.079936076,1.572906852,0,NA,0,0
Ramsayornis_modestus,PASSERIFORMES,Meliphagidae,Honeyeaters,Brown-backed Honeyeater,11.25,0.52836,-0.017437604,0.173909625,0.705075126,1.738033333,-0.269563284,2.210406957,0,NA,0,0
Sericornis_citreogularis,PASSERIFORMES,Acanthizidae,Thornbills and gerygones,Yellow-throated Scrubwren,17.4,0.81844,0.065832678,0.251474855,0.115733672,1.174598659,-0.176202007,0.649364507,0,NA,10,0
Sericornis_magnirostra,PASSERIFORMES,Acanthizidae,Thornbills and gerygones,Large-billed Scrubwren,9.75,0.6216,0.088184022,0.281345258,0.12792119,1.174598659,-0.376617058,0.912563227,0,NA,0,0
Pomatostomus_isidorei,PASSERIFORMES,Pomatostomidae,Australasian babblers,New Guinea Babbler,70,2.25848,0.165802279,0.332862935,1.332459928,1.780815919,0.576084634,2.71118116,0,NA,0,0
Pomatostomus_temporalis,PASSERIFORMES,Pomatostomidae,Australasian babblers,Grey-crowned Babbler,71,1.9684,0.102626049,0.269490188,0.031568906,1.752844593,-1.312859496,1.114699339,0,NA,0,0
Pomatostomus_superciliosus,PASSERIFORMES,Pomatostomidae,Australasian babblers,White-browed Babbler,43.2,1.57472,0.127375179,0.301012341,-0.00081338,0.933876736,-1.254431187,1.027321587,0,NA,0,0
Pomatostomus_halli,PASSERIFORMES,Pomatostomidae,Australasian babblers,Hall's Babbler,41.8,1.6576,0.157718482,0.331789911,0.113819616,0.592970887,-1.077666194,-0.397590242,0,NA,0,0
Pomatostomus_ruficeps,PASSERIFORMES,Pomatostomidae,Australasian babblers,Chestnut-crowned Babbler,57.8,2.4346,0.245307097,0.414982119,-0.00081338,0.326716901,-1.119140795,0.725553821,0,NA,0,0
Psophodes_occidentalis,PASSERIFORMES,Eupetidae,"Whipbirds, wedgebills and jewel-babblers",Chiming Wedgebill,39.8,1.37788,0.089455787,0.264173516,0.018112242,1.153907032,-1.302518683,-0.289777861,0,NA,0,0
Platysteira_cyanea,PASSERIFORMES,Platysteiridae,"Shrike-flycatchers, wattle-eyes and batises",Brown-throated Wattle-eye,14.6,0.81844,0.108794119,0.296708955,0.683894771,1.849250583,-1.423224888,2.318224955,0,NA,0,0
Prionops_plumatus,PASSERIFORMES,Malaconotidae,"Helmetshrikes, bushshrikes and puffbacks",White Helmet-shrike,33.25,1.20176,0.074092042,0.251179814,0.36295733,1.848092222,-1.640971424,1.952130498,0,NA,0,0
Sphecotheres_viridis,PASSERIFORMES,Oriolidae,Orioles and figbirds,Timor Figbird,123.5125,2.32064,0.038547269,0.198051971,1.707280671,1.789849137,0.127255317,0.464239171,0,NA,0,0
Pitohui_ferrugineus,PASSERIFORMES,Colluricinclidae,Shrike-thrushes and allies,Rusty Pitohui,90,2.56928,0.160259071,0.323970123,1.332459928,1.780815919,0.545825783,2.71118116,0,NA,0,0
Rhipidura_leucophrys,PASSERIFORMES,Rhipiduridae,Fantails,Willie-wagtail,27,0.60088,-0.175952439,0.00390461,-0.00081338,1.888332464,-1.312859496,2.71118116,0,NA,0,0
Rhipidura_rufiventris,PASSERIFORMES,Rhipiduridae,Fantails,Northern Fantail,12.5,0.5698,-0.010444313,0.17956204,0.744324353,1.798638473,-1.142871714,2.71118116,0,NA,0,0
Rhipidura_fuliginosa,PASSERIFORMES,Rhipiduridae,Fantails,Grey Fantail,7.75,0.35224,-0.102273303,0.093862522,-0.029399488,1.819448801,-0.909066572,2.104926754,1,NA,0,0
Rhipidura_rufifrons,PASSERIFORMES,Rhipiduridae,Fantails,Rufous Fantail,10.2,0.37296,-0.144713194,0.047876076,0.033315837,1.888332464,-0.642458645,1.862447131,1,NA,0,0
Cyanocorax_morio,PASSERIFORMES,Corvidae,Crows and jays,Brown Jay,214,4.9728,0.234953816,0.387165425,-0.110314181,1.609771794,-0.759645496,1.675987462,0,NA,0,0
Pica_pica,PASSERIFORMES,Corvidae,Crows and jays,Black-billed Magpie,213.375,4.83812,0.223745652,0.375995326,-1.72649591,1.078024213,-2.256815519,1.762712114,0,6,0,0
Podoces_hendersoni,PASSERIFORMES,Corvidae,Crows and jays,Mongolian Ground-jay,121.5,3.39808,0.20819578,0.367912442,-1.263662287,-0.648870854,-1.280158368,0.465104166,0,NA,0,0
Pyrrhocorax_pyrrhocorax,PASSERIFORMES,Corvidae,Crows and jays,Red-billed Chough,247.75,6.60968,0.322674041,0.472910781,-1.392122731,0.814147862,-2.315739389,1.762712114,0,4,0,0
Ptiloris_victoriae,PASSERIFORMES,Paradisaeidae,Birds of paradise,Victoria's Riflebird,86.5,2.63144,0.180353785,0.344575132,0.744324353,1.228031727,-0.032566816,0.10746607,0,NA,0,0
Ptiloris_paradiseus,PASSERIFORMES,Paradisaeidae,Birds of paradise,Paradise Riflebird,105,2.88008,0.172105904,0.333764796,0.262543387,0.612580593,-0.269637751,0.484953509,0,NA,0,0
Seleucidis_melanoleucus,PASSERIFORMES,Paradisaeidae,Birds of paradise,Twelve-wired Bird-of-paradise,166,3.53276,0.148660075,0.304208345,1.378205165,1.780815919,0.840585842,2.49269886,0,NA,0,0
Riparia_riparia,PASSERIFORMES,Hirundinidae,Swallows and martins,Sand Martin,13.4,0.42476,-0.155047725,0.034022237,-1.806743823,0.683200214,-2.555900893,1.759305997,1,6.735,0,0
Progne_subis,PASSERIFORMES,Hirundinidae,Swallows and martins,Purple Martin,51.45,1.06708,-0.084426432,0.086854298,-1.289349392,1.180574181,-1.685783241,1.282829838,1,4.79,0,0
Psaltriparus_minimus,PASSERIFORMES,Aegithalidae,Long-tailed tits,Bushtit,5.3,0.3626,0.003361536,0.204426559,-0.951678869,1.348724276,-1.717434504,1.675987462,0,12,10,0
Prinia_leucopogon,PASSERIFORMES,Cisticolidae,Cisticolas and allies,White-chinned Prinia,12,0.61124,0.030040933,0.220570044,0.866085448,1.591260908,-0.495381362,2.299483434,0,NA,0,0
Pycnonotus_jocosus,PASSERIFORMES,Pycnonotidae,Bulbuls,Red-whiskered Bulbul,27.7,0.96348,0.022835033,0.202352061,-0.095439025,1.848306725,-1.301868627,1.762712114,0,5,20,0
